eig
  	eigenvalue	percentage of variance	cumulative percentage of variance	
comp 1	3.16119981582283	28.7381801438439	28.7381801438439
comp 2	1.82488444639871	16.5898586036246	45.3280387474686
comp 3	1.66494004368071	15.1358185789156	60.4638573263842
comp 4	1.1648358777768		10.5894170706982	71.0532743970824
comp 5	0.897248007744137	8.15680007040124	79.2100744674836
comp 6	0.781463292789861	7.10421175263509	86.3142862201187
comp 7	0.570489084484316	5.18626440440287	91.5005506245216
comp 8	0.400859867201313	3.64418061092103	95.1447312354426
comp 9	0.320661735562043	2.91510668692766	98.0598379223702
comp 10	0.157071377748335	1.42792161589395	99.4877595382642
comp 11	0.0563464507909368	0.512240461735789	100

var
coord
   			Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
3	0.3877	0.1397	0.0276	0.0434	0.1619	
4	0.7517	0.0959	0.0091	0.0063	0.0232	
5	0.4202	0.2942	4e-04	2e-04	0.062	
6	0.597	0.0336	0.0291	8e-04	0.2259	
7	0.5042	0.0835	0.0166	0.0943	0.2002	
8	0.0271	0.2276	0.414	0.0446	0.0115	
9	0.1776	0.021	0.3013	0.0046	0.0696	
10	0.2298	0.0032	0.0018	0.3945	0.1004	
11	0.7151	0.0648	0.063	0.007	0.0071	
12	0.1326	0.0315	0.0132	0.0936	0.1739	
13	0.44	0.1541	0.1378	0.0671	0.0478	
14	3e-04	7e-04	0.549	0.0056	0.1554	
15	0.4701	0.1945	0.0056	2e-04	0.0522	
16	4e-04	0.5818	0.0096	0.0158	8e-04	
17	0.1192	0.3141	0.0014	0.0525	0.3083	
18	0.0523	0	4e-04	0.01	0.0571	
19	0.5916	0.0048	0.049	0.0351	7e-04	
20	0.1069	0.4152	0.0033	0.0015	0.1951	
21	0.0098	0.2168	0.5225	0.0519	0.0304	
22	0.528	0.3118	0.0027	0.0021	0.0241	
23	0.0234	0.003	0.0501	5e-04	0.0027	
24	0.5684	0.0356	0.0181	0.0283	0.1804	
25	2e-04	0.0929	0.0714	0.0679	0.434	
26	0.5941	0.034	0.0961	0.0814	2e-04	
27	0.2224	0.1005	0.5262	0.0506	0.0374	
28	0.0611	0.2359	0.0067	0.1542	0.0728	
29	0.3724	0.1879	0.278	0.0072	0.0159	
30	0.5206	0.1925	0.0382	0.0568	0.1021	
31	0.2899	0.0163	0.2899	0.0245	0.0084	
32	0.0407	0.1695	0.1616	0.0147	0.1328	
33	0.0101	0.4355	0.0496	7e-04	0.3629	
34	0.0713	0.2274	0.1517	0.0262	0.1066	
35	0.1084	0.0345	1e-04	0.507	0.0159	
36	0.0189	7e-04	0.7558	0.0172	0.0052	
37	0.3336	0.0562	0.0233	0.0548	0.08	
38	0.3656	0.0014	0.1862	0.0397	8e-04	
39	0.0156	0.6687	6e-04	0.0209	0.0382	
40	0.7857	0.0323	0.0563	0.0292	0.0143	
41	0.8007	0.0053	0.0821	0.001	0.0126	
42	0.7095	0.0712	0.0225	0.0806	0.0939	
43	0.1423	0.2535	0.0061	0.2606	0.0274	
44	0.2713	0.1931	0.2824	0.1296	0.0927	
45	0.3267	0.2598	0.1212	0	0.027	
46	0.0012	0.0335	0.3451	0.0383	0.1225	
47	0.1327	0.2176	0.4237	0.0374	0.0025	
48	0.1061	0.0267	0.0189	0.6721	0.1002	
49	0	0.1447	0.7537	2e-04	0.0059	
50	0.2176	0.4436	0.0954	0	0.0022	
51	0.0721	0.6175	0.0199	0.108	0.088	
52	0.4158	0.3427	0.029	0.0103	0.01	
53	0	0.0591	0.5944	0.0173	0.0902	
54	0.1421	0.0857	0.1815	0.0311	0.0236	
55	0.001	0.6728	0.0182	0.08	0.0668	
56	0.3866	0.1422	0.3985	0.0023	0.0232	
57	0.6983	0.0017	0.1477	0.0742	0.0207	
58	0.7282	0.0053	0.004	0.0498	0.0017	
59	0.0579	6e-04	0.2686	0.3805	0.1047	
60	0.1436	0.4224	0.1127	0.0501	0.0086	
61	0.0339	0.123	0.235	0.0088	0.0672	
62	0.0923	0.0858	0.556	0.0106	0.177	
63	0.0426	0.6842	0.0643	0.0079	0.0081	
64	0.5058	0.0154	0.1927	0.0533	0.1976	
65	0.0679	0.3138	0.0405	6e-04	0.1444	
66	0.0455	0.3106	0.207	0.0331	0.0645	
67	0.1426	0.1891	0.4445	0.0094	0.0671	
68	0.8605	0.0713	0.0066	8e-04	3e-04	
69	0.2297	0.2386	0.0045	0.1142	0.2018	
70	0.8156	7e-04	0.0444	0.0116	5e-04	
71	0.1596	0.0442	0.006	0.0438	0.182	
72	0.0738	0.0446	0.0592	0.0591	0.6034	
73	0.29	0.0527	0.4131	0.1447	0.0101	
74	0.2817	0.0192	5e-04	0	0.0017	
75	0.1518	2e-04	0	0.191	0.0878	
76	0.0675	0.6233	0.0202	0.0042	0.1646	
77	0.0388	0.0114	0.0306	7e-04	0.0976	
78	0.0597	0.1819	0.5257	2e-04	0.0689	
79	0.7303	0.0261	0.1379	0.0037	0.0477	
80	0.4793	0.2145	0.097	0.065	0.0014	
81	0	0.5751	0.0106	0.0551	0.0213	
82	0.7808	0.0061	0.0152	8e-04	0.0011	
83	0.0127	0.0145	0.5001	0.0204	0.0081	
84	0.097	0.3642	0.0102	3e-04	0.2015	
85	0.0206	0.1537	0.5665	0.0441	0.0317	
86	0.1505	0.0339	0.015	0.013	0.0079	
87	0.2647	0.1701	0.315	0.0191	7e-04	
88	0.1639	0.0876	0.0992	0.003	0.0059	
89	0.5477	0.0964	0.0011	0.0054	9e-04	
90	0.0107	0.2227	0.0725	0.0922	0.259	
91	0.0095	0.0915	0.3554	0.0616	0.1225	
92	0.4409	0.2355	0.0892	0.0735	0.0022	
93	0.0792	0.1451	0.2114	0.012	0.0251	
94	0.6532	0.0488	0.1457	0.0269	0.0253	
95	0.1599	0.0415	0.4917	0.1818	0.0465	
96	0.2064	0.0336	0.4062	0.2721	0.0164	
97	0.0168	3e-04	0.4358	0.1165	0.0387	
98	0.4833	0.3521	0.0023	0	0.0098	
99	0.5107	0.0837	0	2e-04	0.2581	
100	0.0689	0.1293	0.2549	0.2356	0.1802	
101	0.1246	0.178	0.1843	0.0108	0.2716	
102	0.0102	0.3261	0.35	0.1506	9e-04	
103	0.2554	0.2751	0.155	0.0894	0.0121	
104	0.0493	0.0042	0.4214	0.0093	0.0108	
105	0.3489	0.2283	0.0224	2e-04	0.0582	
106	0.6427	0.0126	0	8e-04	0.1062	
107	0.3443	0	0.0725	0.0684	0.4338	
108	0.3158	0.0096	0.4392	0.0078	0.1883	
109	0.135	0.5517	0.0014	0.0016	0.0158	
110	0.25	0.033	0.2359	0.0131	0.0112	
111	0.7439	0.0322	0.0145	0.0113	0.0022	
112	0.0015	0.4134	0.0205	0.0339	0.0032	
113	0.449	0.0418	0.3069	0.0974	0.0046	
114	0.0168	0.0051	0.1883	0.0016	0.2012	
115	0.6233	0.0609	0.0224	0.0214	0.1023	
116	0.7133	0.0498	0.0122	0.0028	0.1189	
117	0.0709	0.2264	0.2428	0.023	0.1951	
118	0.4035	0.2973	0.0065	0.0193	0.1116	
119	0.0473	0.5274	0.2076	0.0643	0.0048	
120	0.1183	0.3798	0.1384	0.0121	0.0916	
121	0.0029	0.3773	0.0119	2e-04	0.2714	
122	0.2359	0.2701	0.1218	0.1084	0.1114	
123	0.1656	0.2771	0.0317	0.0454	1e-04	
124	0.0746	0.7217	0.031	0.0017	0.0023	
125	0.0744	0.5382	0.0541	0.0114	0.1179	
126	0.175	0.0056	0.3113	0.1938	0.055	
127	0.0327	0.4514	0.3827	0.0292	0.0065	
128	0.4639	0.0825	0.018	0.0131	0.0714	
129	0.8532	0.0158	0.0254	0.006	0.0141	
130	0.015	0.3854	0.019	0.0316	0.0258	
131	0.553	6e-04	0.0046	0.2162	0.1335	
132	2e-04	2e-04	0.0028	0.1691	0.5321	
133	6e-04	0.3232	0.243	0.0427	0.0531	
134	0.4986	0.1256	0.0021	0.1556	0.0302	
135	0.5474	0.0069	0.0138	0.0835	0.2086	
136	0.1935	0.0374	0.5663	0.0054	0.0067	
137	0.6003	0.0787	0.0448	0.0017	3e-04	
138	0.2596	0.0453	0.2472	0.0014	0.079	
139	0.4163	0.066	0.2508	0.0085	0.0089	
140	0.6245	0.0332	0.0202	0.0106	5e-04	
141	0.7712	9e-04	0.1368	0.0305	0.0198	
142	0.7222	0	0.1143	0.0738	0.0155	
143	9e-04	0.0273	0.6745	0.0426	0.0279	
144	0.2619	0.2148	0.0224	0.0627	0.3385	
145	0.0421	0.2765	0.1687	0.0086	0.0143	
146	0.6808	0.0939	0.0985	0.0234	0.0576	
147	0.0878	0.0209	0.0443	0.1092	0	
148	0.0023	0.0438	0.7685	0.0264	0.0542	
149	0.459	0.0012	0.1469	0.1946	0.1053	
150	0.1213	0.2169	0.0037	0	0.1192	
151	0.4833	0.0386	0.2176	0	0.0545	
152	2e-04	0.0013	0.519	0.007	0.2068	
153	5e-04	0.0414	0.6793	0.0938	0.0223	
154	0.001	0.0165	0.346	0.0134	0.0461	
155	0.3433	0.316	0.0208	0.0083	0.0032	
156	0.1102	0.5946	0.0882	0.0393	0.0052	
157	0.6372	0.1078	0.0635	0.0352	0.0378	
158	0.5716	0.0336	0.163	0.0137	0.0358	
159	0.6381	0.2727	6e-04	0.0376	0.0158	
160	0.6736	0.0185	0.0601	0.0237	2e-04	
161	0.3052	0.2481	0.0111	0.0166	0.1812	
162	0.4079	0.0631	0.0802	0.0747	0.1745	
163	0.2834	0.1984	0.1086	0	0.0136	
164	0.0581	0.3087	0.1897	0.0083	0.0816	
165	0.0141	0.0101	0.4572	0.0013	0.2543	
166	0.3951	0.0331	0.3982	0.0031	5e-04	
167	0.3085	0.0151	0.2783	0.0343	0.0044	
168	0.0187	0.1599	0.2991	0.0567	0.1785	
169	1e-04	0.0736	0.0917	0.0859	0.1843	
170	0.0755	0.2642	0.0522	0.1615	0.003	
171	0.5591	0.2546	0.0405	0.0066	0.0202	
172	0.5386	0.1268	0.0724	0.0355	0.0963	
173	0.7528	0.0949	0.0168	0.0158	0.0102	
174	0.0753	0.073	0	0.0526	0.1602	
175	0.4254	0.0338	0.2807	0.0157	0.0072	
176	0.3487	0.061	0.3769	0.0129	0.0092	
177	0.1453	0.004	0.0778	0.2611	0.0074	
178	0.0854	0.0265	0.0979	0.4144	0.0961	
179	0.0398	0.0027	0.6111	0.0576	0.0208	
180	0.2352	0.0463	0.5447	0.0033	0.0278	
181	0.005	0.0271	0.8304	0.0062	0	
182	0.1128	0.2209	0.2021	8e-04	0.1741	
183	0.0215	0.0066	0.0557	0.1608	0.2635	
184	0.2701	0.0167	0.3427	0.0402	0.0507	
185	0.0828	0.4184	0.3748	0.0017	0.0108	
186	0.0094	0.5603	0.0281	0.0587	0.0638	
187	0.3183	0.1209	0.1585	0.0035	0.0691	
188	0.036	0.0976	0.6925	0.0214	0.0259	
189	0.3909	0.0791	0.1577	0.0336	0.1872	
190	9e-04	0.1854	0.0303	0.0848	0.2082	
191	0.0378	0.5891	0.0345	0.0193	0.0814	
192	0.1999	0.3039	0.0804	0.0869	0.0547	
193	0.7441	0.01	6e-04	0.1458	0.0199	
194	0.614	0.0771	0.1058	0.0069	0.0283	
195	0.0039	0.3861	0.3376	3e-04	0.0533	
196	0.0352	0.359	0.0157	4e-04	0.051	
197	0.7248	0.0051	0.1672	0.0015	0.0161	
198	0.0146	0.4907	0.0479	0.0094	0.2118	
199	0.717	0.022	0.1008	8e-04	0.0749	
200	0.3179	0.0684	0.4708	0.0016	0.0093	

contrib
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
